,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,Category,positive,negative,neutral,,,,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16/6/21 3:02,photo,healthy eating,positive,60,,,,,,,,,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23/9/20 11:15,photo,healthy eating,positive,65,,,,,,,,,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24/3/21 5:56,photo,healthy eating,positive,50,,,,,,,,,,,
61,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,3/8/2020 16:41,photo,healthy eating,positive,75,,,,,,,,,,,
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/1/2021 15:36,photo,healthy eating,positive,72,,,,,,,,,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,20/7/20 14:06,photo,healthy eating,positive,70,,,,,,,,,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24/10/20 12:15,photo,healthy eating,positive,72,,,,,,,,,,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/6/2021 1:27,photo,healthy eating,positive,30,,,,,,,,,,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,25/12/20 0:09,photo,healthy eating,positive,60,,,,,,,,,,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,14/6/21 7:56,photo,healthy eating,positive,50,,,,,,,,,,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,5/6/2021 18:00,photo,healthy eating,positive,50,,,,,,,,,,,
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,9/5/2021 2:42,photo,healthy eating,positive,30,,,,,,,,,,,
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,21/6/20 16:57,photo,healthy eating,positive,60,,,,,,,,,,,
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,4/3/2021 23:58,photo,healthy eating,positive,75,,,,,,,,,,,
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,9/7/2020 16:47,photo,healthy eating,positive,70,,,,,,,,,,,
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,13/11/20 0:33,photo,healthy eating,positive,70,,,,,,,,,,,
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,9/6/2021 10:13,photo,healthy eating,positive,30,,,,,,,,,,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,29/10/20 19:41,photo,healthy eating,positive,65,,,,,,,,,,,
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,14/5/21 12:47,photo,healthy eating,positive,60,,,,,,,,,,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,7/8/2020 4:09,photo,healthy eating,positive,72,,,,,,,,,,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,23/10/20 21:19,photo,healthy eating,positive,72,,,,,,,,,,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,14/11/20 23:53,photo,healthy eating,positive,72,,,,,,,,,,,
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,12/11/2020 4:54,photo,healthy eating,positive,30,,,,,,,,,,,
92,356fff80-da4d-4785-9f43-bc1261031dc6,want,27/9/20 22:15,photo,technology,positive,70,,,,,,,,,,,
93,356fff80-da4d-4785-9f43-bc1261031dc6,heart,27/10/20 5:45,photo,technology,positive,60,,,,,,,,,,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,heart,7/5/2021 9:16,photo,technology,positive,60,,,,,,,,,,,
99,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,25/2/21 20:02,GIF,cooking,positive,30,,,,,,,,,,,
101,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,28/1/21 8:49,GIF,cooking,positive,70,,,,,,,,,,,
104,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,23/6/20 22:12,GIF,cooking,positive,65,,,,,,,,,,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,16/2/21 4:01,GIF,cooking,positive,70,,,,,,,,,,,
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,3/1/2021 8:44,GIF,cooking,positive,30,,,,,,,,,,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,25/11/20 12:45,GIF,cooking,positive,72,,,,,,,,,,,
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,3/12/2020 16:47,GIF,cooking,positive,50,,,,,,,,,,,
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,22/5/21 21:03,GIF,cooking,positive,50,,,,,,,,,,,
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,18/1/21 13:39,GIF,cooking,positive,70,,,,,,,,,,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,14/5/21 14:33,GIF,cooking,positive,72,,,,,,,,,,,
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,7/12/2020 22:50,GIF,cooking,positive,45,,,,,,,,,,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,10/5/2021 22:07,GIF,cooking,positive,72,,,,,,,,,,,
121,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,12/2/2021 16:37,video,dogs,positive,70,,,,,,,,,,,
122,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,28/4/21 15:22,video,dogs,positive,60,,,,,,,,,,,
123,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,24/1/21 0:38,video,dogs,positive,45,,,,,,,,,,,
126,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,23/12/20 4:11,video,dogs,positive,60,,,,,,,,,,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,like,28/3/21 23:25,video,dogs,positive,50,,,,,,,,,,,
131,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,6/3/2021 5:23,video,dogs,positive,60,,,,,,,,,,,
133,3f8590c7-6ab2-4973-805a-90cdec355f05,want,6/9/2020 22:35,video,dogs,positive,70,,,,,,,,,,,
134,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,24/6/20 9:31,video,dogs,positive,30,,,,,,,,,,,
136,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,21/1/21 18:28,video,dogs,positive,45,,,,,,,,,,,
139,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,3/8/2020 6:29,video,dogs,positive,70,,,,,,,,,,,
141,3f8590c7-6ab2-4973-805a-90cdec355f05,want,4/6/2021 4:57,video,dogs,positive,70,,,,,,,,,,,
142,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,21/10/20 9:07,video,dogs,positive,75,,,,,,,,,,,
146,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,14/6/21 13:44,video,dogs,positive,30,,,,,,,,,,,
149,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,7/12/2020 19:07,video,dogs,positive,30,,,,,,,,,,,
150,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,28/12/20 8:31,video,dogs,positive,30,,,,,,,,,,,
151,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,26/10/20 5:27,video,dogs,positive,30,,,,,,,,,,,
154,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,11/7/2020 5:51,video,dogs,positive,60,,,,,,,,,,,
155,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,19/3/21 16:23,video,dogs,positive,60,,,,,,,,,,,
156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,11/10/2020 18:31,video,dogs,positive,30,,,,,,,,,,,
157,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2/11/2020 20:15,video,dogs,positive,60,,,,,,,,,,,
158,3f8590c7-6ab2-4973-805a-90cdec355f05,want,1/10/2020 3:35,video,dogs,positive,70,,,,,,,,,,,
160,3f8590c7-6ab2-4973-805a-90cdec355f05,want,7/2/2021 15:59,video,dogs,positive,70,,,,,,,,,,,
162,3f8590c7-6ab2-4973-805a-90cdec355f05,like,9/8/2020 19:41,video,dogs,positive,50,,,,,,,,,,,
163,3f8590c7-6ab2-4973-805a-90cdec355f05,love,1/2/2021 2:40,video,dogs,positive,65,,,,,,,,,,,
164,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,30/1/21 9:36,video,dogs,positive,72,,,,,,,,,,,
165,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,31/3/21 15:24,video,technology,positive,70,,,,,,,,,,,
166,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,5/2/2021 17:00,video,technology,positive,75,,,,,,,,,,,
167,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,19/2/21 16:29,video,technology,positive,60,,,,,,,,,,,
169,0bedca96-fb76-4287-a83c-17330ed39cce,adore,13/7/20 2:38,photo,soccer,positive,72,,,,,,,,,,,
172,0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,26/11/20 2:25,photo,soccer,positive,45,,,,,,,,,,,
173,0bedca96-fb76-4287-a83c-17330ed39cce,want,25/8/20 19:18,photo,soccer,positive,70,,,,,,,,,,,
175,0bedca96-fb76-4287-a83c-17330ed39cce,love,4/6/2021 14:36,photo,soccer,positive,65,,,,,,,,,,,
176,0bedca96-fb76-4287-a83c-17330ed39cce,adore,19/8/20 13:38,photo,soccer,positive,72,,,,,,,,,,,
177,0bedca96-fb76-4287-a83c-17330ed39cce,cherish,22/4/21 2:08,photo,soccer,positive,70,,,,,,,,,,,
178,0bedca96-fb76-4287-a83c-17330ed39cce,super love,26/6/20 10:33,photo,soccer,positive,75,,,,,,,,,,,
179,0bedca96-fb76-4287-a83c-17330ed39cce,like,15/8/20 18:16,photo,soccer,positive,50,,,,,,,,,,,
180,0bedca96-fb76-4287-a83c-17330ed39cce,love,26/11/20 13:42,photo,soccer,positive,65,,,,,,,,,,,
181,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,14/4/21 0:56,photo,public speaking,positive,70,,,,,,,,,,,
184,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,20/5/21 16:11,photo,public speaking,positive,70,,,,,,,,,,,
185,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2/11/2020 6:09,photo,public speaking,positive,50,,,,,,,,,,,
187,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,7/9/2020 14:42,photo,public speaking,positive,60,,,,,,,,,,,
189,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,7/1/2021 14:08,photo,public speaking,positive,72,,,,,,,,,,,
191,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,27/3/21 4:56,photo,public speaking,positive,50,,,,,,,,,,,
192,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,21/11/20 21:25,photo,public speaking,positive,45,,,,,,,,,,,
193,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,22/8/20 1:25,photo,public speaking,positive,70,,,,,,,,,,,
196,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,21/3/21 14:39,photo,public speaking,positive,45,,,,,,,,,,,
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,7/4/2021 3:15,photo,public speaking,positive,75,,,,,,,,,,,
198,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,24/4/21 6:56,photo,public speaking,positive,70,,,,,,,,,,,
199,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,30/9/20 14:05,photo,public speaking,positive,60,,,,,,,,,,,
200,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,19/7/20 19:28,photo,public speaking,positive,60,,,,,,,,,,,
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,14/7/20 4:36,photo,public speaking,positive,72,,,,,,,,,,,
208,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,8/10/2020 17:23,photo,public speaking,positive,50,,,,,,,,,,,
209,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,12/11/2020 23:55,photo,public speaking,positive,60,,,,,,,,,,,
210,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,21/2/21 5:01,photo,public speaking,positive,70,,,,,,,,,,,
211,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,9/7/2020 8:58,photo,public speaking,positive,45,,,,,,,,,,,
212,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,26/6/20 23:45,photo,public speaking,positive,72,,,,,,,,,,,
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,29/5/21 21:34,photo,public speaking,positive,50,,,,,,,,,,,
217,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,1/10/2020 15:10,photo,public speaking,positive,72,,,,,,,,,,,
220,b18cb63f-4c8e-44ee-a47f-541e95191d11,love,30/6/20 1:14,photo,public speaking,positive,65,,,,,,,,,,,
221,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,1/12/2020 15:06,photo,public speaking,positive,70,,,,,,,,,,,
223,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,30/6/20 13:08,GIF,science,positive,75,,,,,,,,,,,
224,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,4/8/2020 3:09,GIF,science,positive,60,,,,,,,,,,,
225,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,28/7/20 7:01,GIF,science,positive,45,,,,,,,,,,,
226,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,25/10/20 2:39,GIF,science,positive,75,,,,,,,,,,,
228,5118e9c5-1377-4cc5-a486-65b35b7b7b76,cherish,28/4/21 15:16,GIF,science,positive,70,,,,,,,,,,,
230,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,29/8/20 11:37,GIF,science,positive,72,,,,,,,,,,,
231,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,15/10/20 12:09,GIF,science,positive,45,,,,,,,,,,,
232,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,2/8/2020 21:20,GIF,science,positive,65,,,,,,,,,,,
234,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,12/10/2020 9:40,GIF,science,positive,60,,,,,,,,,,,
235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,want,12/12/2020 12:22,GIF,science,positive,70,,,,,,,,,,,
236,5118e9c5-1377-4cc5-a486-65b35b7b7b76,like,9/1/2021 16:37,GIF,science,positive,50,,,,,,,,,,,
238,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,22/12/20 4:20,GIF,science,positive,65,,,,,,,,,,,
240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,17/4/21 22:45,GIF,science,positive,72,,,,,,,,,,,
242,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,19/7/20 10:33,GIF,science,positive,45,,,,,,,,,,,
243,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,6/7/2020 2:08,GIF,science,positive,45,,,,,,,,,,,
244,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,26/3/21 5:42,GIF,science,positive,65,,,,,,,,,,,
245,0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,13/9/20 11:24,GIF,tennis,positive,70,,,,,,,,,,,
248,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,3/9/2020 1:15,GIF,tennis,positive,75,,,,,,,,,,,
251,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,29/5/21 7:21,GIF,tennis,positive,75,,,,,,,,,,,
253,0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,15/8/20 12:27,GIF,tennis,positive,45,,,,,,,,,,,
259,0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,6/11/2020 2:36,GIF,tennis,positive,60,,,,,,,,,,,
260,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,25/7/20 16:31,GIF,tennis,positive,75,,,,,,,,,,,
262,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,22/9/20 2:08,GIF,tennis,positive,75,,,,,,,,,,,
264,0be59876-d70c-486c-8e0b-a06bef7a2cd6,want,20/10/20 12:11,GIF,tennis,positive,70,,,,,,,,,,,
265,0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,11/1/2021 6:02,GIF,tennis,positive,60,,,,,,,,,,,
266,0be59876-d70c-486c-8e0b-a06bef7a2cd6,want,28/2/21 7:51,GIF,tennis,positive,70,,,,,,,,,,,
267,0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,6/12/2020 13:45,GIF,tennis,positive,45,,,,,,,,,,,
269,0be59876-d70c-486c-8e0b-a06bef7a2cd6,interested,27/8/20 18:36,GIF,tennis,positive,30,,,,,,,,,,,
270,0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,15/10/20 1:29,GIF,tennis,positive,60,,,,,,,,,,,
272,0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,1/3/2021 20:26,GIF,tennis,positive,45,,,,,,,,,,,
274,0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,26/6/20 19:05,GIF,tennis,positive,60,,,,,,,,,,,
275,0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,30/12/20 13:37,GIF,tennis,positive,70,,,,,,,,,,,
276,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,14/2/21 21:15,GIF,tennis,positive,75,,,,,,,,,,,
277,0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,27/3/21 20:07,GIF,tennis,positive,70,,,,,,,,,,,
279,0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,9/11/2020 8:23,GIF,tennis,positive,60,,,,,,,,,,,
284,0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,13/4/21 1:43,GIF,tennis,positive,45,,,,,,,,,,,
285,0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,13/12/20 15:59,GIF,tennis,positive,70,,,,,,,,,,,
288,0be59876-d70c-486c-8e0b-a06bef7a2cd6,want,4/12/2020 10:04,GIF,tennis,positive,70,,,,,,,,,,,
292,81abd65a-3b76-4574-a0a7-db6bf7184ae2,love,6/1/2021 6:08,video,food,positive,65,,,,,,,,,,,
295,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,26/1/21 1:00,video,food,positive,75,,,,,,,,,,,
300,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,28/10/20 13:14,video,food,positive,75,,,,,,,,,,,
306,81abd65a-3b76-4574-a0a7-db6bf7184ae2,adore,28/2/21 9:21,video,food,positive,72,,,,,,,,,,,
309,81abd65a-3b76-4574-a0a7-db6bf7184ae2,love,26/10/20 11:48,video,food,positive,65,,,,,,,,,,,
310,81abd65a-3b76-4574-a0a7-db6bf7184ae2,heart,4/11/2020 14:58,video,food,positive,60,,,,,,,,,,,
311,81abd65a-3b76-4574-a0a7-db6bf7184ae2,love,31/5/21 1:24,video,food,positive,65,,,,,,,,,,,
313,81abd65a-3b76-4574-a0a7-db6bf7184ae2,intrigued,17/6/21 23:27,video,food,positive,45,,,,,,,,,,,
314,81abd65a-3b76-4574-a0a7-db6bf7184ae2,intrigued,27/7/20 23:54,video,food,positive,45,,,,,,,,,,,
316,81abd65a-3b76-4574-a0a7-db6bf7184ae2,like,5/10/2020 13:55,video,food,positive,50,,,,,,,,,,,
317,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,28/9/20 8:49,video,food,positive,75,,,,,,,,,,,
319,81abd65a-3b76-4574-a0a7-db6bf7184ae2,heart,24/12/20 22:31,video,food,positive,60,,,,,,,,,,,
320,81abd65a-3b76-4574-a0a7-db6bf7184ae2,heart,15/6/21 12:15,video,food,positive,60,,,,,,,,,,,
322,81abd65a-3b76-4574-a0a7-db6bf7184ae2,intrigued,12/2/2021 4:23,video,food,positive,45,,,,,,,,,,,
323,81abd65a-3b76-4574-a0a7-db6bf7184ae2,adore,31/8/20 0:39,video,food,positive,72,,,,,,,,,,,
325,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,2/8/2020 20:28,video,food,positive,75,,,,,,,,,,,
328,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,11/2/2021 4:02,video,food,positive,75,,,,,,,,,,,
329,81abd65a-3b76-4574-a0a7-db6bf7184ae2,heart,12/8/2020 23:43,video,food,positive,60,,,,,,,,,,,
331,81abd65a-3b76-4574-a0a7-db6bf7184ae2,interested,27/10/20 3:58,video,food,positive,30,,,,,,,,,,,
333,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,8/6/2021 10:45,video,food,positive,75,,,,,,,,,,,
334,81abd65a-3b76-4574-a0a7-db6bf7184ae2,like,18/10/20 4:17,video,food,positive,50,,,,,,,,,,,
335,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,5/11/2020 13:54,video,food,positive,75,,,,,,,,,,,
336,81abd65a-3b76-4574-a0a7-db6bf7184ae2,intrigued,16/8/20 12:12,video,food,positive,45,,,,,,,,,,,
339,81abd65a-3b76-4574-a0a7-db6bf7184ae2,like,25/9/20 6:17,video,food,positive,50,,,,,,,,,,,
340,e6ee2244-9382-49a9-8cbf-fa54aaaa2392,intrigued,3/3/2021 18:40,audio,travel,positive,45,,,,,,,,,,,
341,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,interested,30/10/20 3:52,GIF,fitness,positive,30,,,,,,,,,,,
342,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,like,12/2/2021 5:48,GIF,fitness,positive,50,,,,,,,,,,,
344,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,interested,2/4/2021 7:49,GIF,fitness,positive,30,,,,,,,,,,,
348,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,cherish,10/8/2020 13:42,GIF,fitness,positive,70,,,,,,,,,,,
349,f332d362-dc48-46c2-a64b-641157c0987e,adore,26/7/20 19:34,GIF,soccer,positive,72,,,,,,,,,,,
350,f332d362-dc48-46c2-a64b-641157c0987e,interested,12/12/2020 15:31,GIF,soccer,positive,30,,,,,,,,,,,
351,f332d362-dc48-46c2-a64b-641157c0987e,want,21/8/20 15:22,GIF,soccer,positive,70,,,,,,,,,,,
357,a2e93b29-9259-4092-a4d7-62d5e823bb74,interested,21/11/20 19:53,video,public speaking,positive,30,,,,,,,,,,,
360,a2e93b29-9259-4092-a4d7-62d5e823bb74,want,7/9/2020 6:55,video,public speaking,positive,70,,,,,,,,,,,
363,a2e93b29-9259-4092-a4d7-62d5e823bb74,love,9/11/2020 0:34,video,public speaking,positive,65,,,,,,,,,,,
364,a2e93b29-9259-4092-a4d7-62d5e823bb74,like,3/9/2020 13:36,video,public speaking,positive,50,,,,,,,,,,,
366,a2e93b29-9259-4092-a4d7-62d5e823bb74,want,14/4/21 18:36,video,public speaking,positive,70,,,,,,,,,,,
367,a2e93b29-9259-4092-a4d7-62d5e823bb74,love,12/1/2021 11:57,video,public speaking,positive,65,,,,,,,,,,,
369,a2e93b29-9259-4092-a4d7-62d5e823bb74,heart,8/3/2021 0:05,video,public speaking,positive,60,,,,,,,,,,,
370,a2e93b29-9259-4092-a4d7-62d5e823bb74,want,14/9/20 5:11,video,public speaking,positive,70,,,,,,,,,,,
372,a2e93b29-9259-4092-a4d7-62d5e823bb74,want,30/6/20 1:25,video,public speaking,positive,70,,,,,,,,,,,
373,a2e93b29-9259-4092-a4d7-62d5e823bb74,adore,26/1/21 19:53,video,public speaking,positive,72,,,,,,,,,,,
374,a2e93b29-9259-4092-a4d7-62d5e823bb74,cherish,30/6/20 7:10,video,public speaking,positive,70,,,,,,,,,,,
375,a2e93b29-9259-4092-a4d7-62d5e823bb74,adore,19/5/21 16:20,video,public speaking,positive,72,,,,,,,,,,,
376,a2e93b29-9259-4092-a4d7-62d5e823bb74,want,11/3/2021 23:55,video,public speaking,positive,70,,,,,,,,,,,
377,a2e93b29-9259-4092-a4d7-62d5e823bb74,want,17/10/20 22:39,video,public speaking,positive,70,,,,,,,,,,,
378,a2e93b29-9259-4092-a4d7-62d5e823bb74,adore,12/4/2021 17:12,video,public speaking,positive,72,,,,,,,,,,,
383,a2e93b29-9259-4092-a4d7-62d5e823bb74,super love,7/10/2020 16:03,video,public speaking,positive,75,,,,,,,,,,,
389,a2e93b29-9259-4092-a4d7-62d5e823bb74,intrigued,14/11/20 15:11,video,public speaking,positive,45,,,,,,,,,,,
390,a2e93b29-9259-4092-a4d7-62d5e823bb74,super love,5/5/2021 15:38,video,public speaking,positive,75,,,,,,,,,,,
391,a2e93b29-9259-4092-a4d7-62d5e823bb74,interested,17/8/20 10:08,video,public speaking,positive,30,,,,,,,,,,,
392,a2e93b29-9259-4092-a4d7-62d5e823bb74,intrigued,31/12/20 5:53,video,public speaking,positive,45,,,,,,,,,,,
